draw-date,n1,n2,n3,n4,n5,e1,e2
2026-07-24,4,6,8,17,22,7,10
2026-07-21,4,8,10,17,37,5,7
2026-07-17,6,21,31,47,48,2,9
2026-07-14,5,6,17,34,36,3,11
2026-07-10,13,25,28,42,45,5,12
2026-07-07,6,16,24,41,46,2,3
2026-07-03,4,9,20,25,28,1,3
2026-06-30,12,19,34,44,50,3,8
2026-06-26,17,25,35,39,41,5,9
2026-06-23,24,27,43,48,50,4,12
2026-06-19,16,27,37,42,45,5,12
2026-06-16,9,26,29,37,42,1,7
2026-06-12,2,4,14,18,28,9,11
2026-06-09,1,14,22,39,48,8,11
2026-06-05,21,23,44,47,50,1,7
2026-06-02,2,36,38,40,46,7,8
2026-05-29,3,20,21,42,49,5,6
2026-05-26,5,11,23,33,42,10,12
2026-05-22,5,34,35,42,46,3,5
2026-05-19,10,36,37,39,47,5,6
2026-05-15,1,32,33,36,37,7,12
2026-05-12,7,15,19,28,35,3,11
2026-05-08,3,17,18,31,41,6,12
2026-05-05,1,30,33,34,43,5,10
2026-05-01,10,11,13,16,27,5,7
2026-04-28,19,20,41,43,46,5,7
2026-04-24,6,21,29,39,44,1,5
2026-04-21,31,32,36,39,47,7,8
2026-04-17,16,31,35,43,44,2,9
2026-04-14,13,22,32,46,47,6,7
2026-04-10,1,6,11,18,48,10,12
2026-04-07,2,4,16,23,27,5,8
2026-04-03,9,10,18,22,37,1,11
2026-03-31,5,15,18,20,35,7,8
2026-03-27,21,23,25,38,40,7,11
2026-03-24,9,15,23,43,48,3,5
2026-03-20,2,17,21,25,30,2,6
2026-03-17,12,13,16,17,37,4,11
2026-03-13,7,23,37,44,47,2,6
2026-03-10,2,3,17,18,28,4,10
2026-03-06,8,17,26,31,47,1,6
2026-03-03,1,9,14,35,49,2,10
2026-02-27,7,17,19,28,47,2,7
2026-02-24,4,5,26,38,48,2,9
2026-02-20,11,17,23,36,40,5,6
2026-02-17,8,23,39,40,44,6,7
2026-02-13,1,21,44,45,46,2,7
2026-02-10,12,19,34,39,47,4,5
2026-02-06,8,14,38,41,48,1,11
2026-02-03,3,20,27,37,44,1,2
2026-01-30,8,13,15,17,37,3,7
